Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ
STK	STK_Q100	0.2	NAIVE	15533.01	2.0	7.0	74	254
STK	STK_Q100	0.2	SOP	12281.90	178.4	203.0	74	254
STK	STK_Q100	0.2	pMCSKY	12019.13	120.5	145.0	74	254
STK	STK_Q100	0.2	MDUAL-Q	699.58	4.0	9.0	74	254
STK	STK_Q100	0.2	MDUAL-D	61.88	4.0	9.0	74	254
STK	STK_Q100	0.2	MDUAL	20.34	4.0	10.0	74	254
STK	STK_Q100	0.2	NAIVE	16549.30	2.0	7.0	80	286
STK	STK_Q100	0.2	SOP	13082.17	180.8	207.0	80	286
STK	STK_Q100	0.2	pMCSKY	12711.02	122.0	150.0	80	286
STK	STK_Q100	0.2	MDUAL-Q	857.27	4.0	9.0	80	286
STK	STK_Q100	0.2	MDUAL-D	71.30	4.0	9.0	80	286
STK	STK_Q100	0.2	MDUAL	25.22	4.0	9.0	80	286
STK	STK_Q100	0.2	NAIVE	16277.34	2.0	7.0	90	287
STK	STK_Q100	0.2	SOP	12890.22	179.8	206.0	90	287
STK	STK_Q100	0.2	pMCSKY	12599.48	120.6	150.0	90	287
STK	STK_Q100	0.2	MDUAL-Q	788.95	4.0	9.0	90	287
STK	STK_Q100	0.2	MDUAL-D	67.82	4.0	9.0	90	287
STK	STK_Q100	0.2	MDUAL	24.01	4.0	9.0	90	287
STK	STK_Q100	0.2	NAIVE	16119.85	2.0	7.0	98	280
STK	STK_Q100	0.2	SOP	13067.76	179.3	412.0	98	280
STK	STK_Q100	0.2	pMCSKY	11953.73	121.1	154.0	98	280
STK	STK_Q100	0.2	MDUAL-Q	687.79	4.0	14.0	98	280
STK	STK_Q100	0.2	MDUAL-D	64.69	4.0	15.0	98	280
STK	STK_Q100	0.2	MDUAL	22.26	4.0	14.0	98	280
STK	STK_Q100	0.2	NAIVE	15588.95	2.0	12.0	89	284
STK	STK_Q100	0.2	SOP	14580.54	179.6	223.0	89	284
STK	STK_Q100	0.2	pMCSKY	13890.14	121.3	155.0	89	284
STK	STK_Q100	0.2	MDUAL-Q	815.80	4.0	14.0	89	284
STK	STK_Q100	0.2	MDUAL-D	73.19	4.0	15.0	89	284
STK	STK_Q100	0.2	MDUAL	24.09	4.0	14.0	89	284
TAO	TAO_Q100	0.2	NAIVE	16181.45	2.0	12.0	122	562
TAO	TAO_Q100	0.2	SOP	25302.24	229.0	277.0	122	562
TAO	TAO_Q100	0.2	pMCSKY	24506.16	170.0	218.0	122	562
TAO	TAO_Q100	0.2	MDUAL-Q	659.99	6.1	16.0	122	562
TAO	TAO_Q100	0.2	MDUAL-D	779.14	5.7	18.0	122	562
TAO	TAO_Q100	0.2	MDUAL	123.90	6.6	19.0	122	562
TAO	TAO_Q100	0.2	NAIVE	15299.41	2.0	12.0	121	566
TAO	TAO_Q100	0.2	SOP	23317.54	230.1	282.0	121	566
TAO	TAO_Q100	0.2	pMCSKY	20969.89	171.1	221.0	121	566
TAO	TAO_Q100	0.2	MDUAL-Q	619.67	6.1	16.0	121	566
TAO	TAO_Q100	0.2	MDUAL-D	600.18	5.4	17.0	121	566
TAO	TAO_Q100	0.2	MDUAL	97.92	6.4	18.0	121	566
TAO	TAO_Q100	0.2	NAIVE	14593.84	2.0	12.0	126	594
TAO	TAO_Q100	0.2	SOP	22034.71	230.8	281.0	126	594
TAO	TAO_Q100	0.2	pMCSKY	24725.46	171.3	223.0	126	594
TAO	TAO_Q100	0.2	MDUAL-Q	701.43	6.1	16.0	126	594
TAO	TAO_Q100	0.2	MDUAL-D	720.17	5.6	18.0	126	594
TAO	TAO_Q100	0.2	MDUAL	116.23	6.3	19.0	126	594
TAO	TAO_Q100	0.2	NAIVE	16272.47	2.0	12.0	125	565
TAO	TAO_Q100	0.2	SOP	25455.83	230.6	283.0	125	565
TAO	TAO_Q100	0.2	pMCSKY	24488.53	171.8	225.0	125	565
TAO	TAO_Q100	0.2	MDUAL-Q	811.00	6.1	16.0	125	565
TAO	TAO_Q100	0.2	MDUAL-D	633.66	5.1	18.0	125	565
TAO	TAO_Q100	0.2	MDUAL	106.37	6.0	18.0	125	565
TAO	TAO_Q100	0.2	NAIVE	15146.44	2.0	12.0	114	514
TAO	TAO_Q100	0.2	SOP	24786.41	228.7	273.0	114	514
TAO	TAO_Q100	0.2	pMCSKY	24088.22	168.8	213.0	114	514
TAO	TAO_Q100	0.2	MDUAL-Q	645.27	6.1	16.0	114	514
TAO	TAO_Q100	0.2	MDUAL-D	658.10	5.2	17.0	114	514
TAO	TAO_Q100	0.2	MDUAL	103.26	6.0	18.0	114	514
HPC	HPC_Q100	0.2	NAIVE	21389.20	2.4	22.0	102	258
HPC	HPC_Q100	0.2	SOP	6946.85	144.8	208.0	102	258
HPC	HPC_Q100	0.2	pMCSKY	6474.16	79.3	149.0	102	258
HPC	HPC_Q100	0.2	MDUAL-Q	381.67	11.7	33.0	102	258
HPC	HPC_Q100	0.2	MDUAL-D	2404.86	9.2	32.0	102	258
HPC	HPC_Q100	0.2	MDUAL	269.39	10.3	32.0	102	258
HPC	HPC_Q100	0.2	NAIVE	21361.56	2.4	22.0	99	258
HPC	HPC_Q100	0.2	SOP	6785.56	143.3	204.0	99	258
HPC	HPC_Q100	0.2	pMCSKY	6462.12	79.6	135.0	99	258
HPC	HPC_Q100	0.2	MDUAL-Q	374.14	11.7	33.0	99	258
HPC	HPC_Q100	0.2	MDUAL-D	2405.24	9.6	31.0	99	258
HPC	HPC_Q100	0.2	MDUAL	279.19	10.2	31.0	99	258
HPC	HPC_Q100	0.2	NAIVE	22077.42	2.9	22.0	100	267
HPC	HPC_Q100	0.2	SOP	6734.39	142.7	211.0	100	267
HPC	HPC_Q100	0.2	pMCSKY	6289.48	77.2	150.0	100	267
HPC	HPC_Q100	0.2	MDUAL-Q	358.62	11.7	33.0	100	267
HPC	HPC_Q100	0.2	MDUAL-D	2344.36	9.3	31.0	100	267
HPC	HPC_Q100	0.2	MDUAL	281.33	10.1	32.0	100	267
HPC	HPC_Q100	0.2	NAIVE	21321.54	2.4	22.0	94	244
HPC	HPC_Q100	0.2	SOP	6356.46	142.8	203.0	94	244
HPC	HPC_Q100	0.2	pMCSKY	5698.02	79.4	134.0	94	244
HPC	HPC_Q100	0.2	MDUAL-Q	310.70	11.7	33.0	94	244
HPC	HPC_Q100	0.2	MDUAL-D	2101.22	9.5	31.0	94	244
HPC	HPC_Q100	0.2	MDUAL	227.42	10.1	32.0	94	244
HPC	HPC_Q100	0.2	NAIVE	18590.14	2.3	22.0	91	232
HPC	HPC_Q100	0.2	SOP	6072.25	141.3	203.0	91	232
HPC	HPC_Q100	0.2	pMCSKY	5545.41	76.6	143.0	91	232
HPC	HPC_Q100	0.2	MDUAL-Q	320.15	11.7	33.0	91	232
HPC	HPC_Q100	0.2	MDUAL-D	2055.38	8.7	31.0	91	232
HPC	HPC_Q100	0.2	MDUAL	232.29	10.1	32.0	91	232
GAS	GAS_Q100	0.2	NAIVE	23995.77	3.0	22.0	15	21
GAS	GAS_Q100	0.2	SOP	88539.57	342.3	450.0	15	21
GAS	GAS_Q100	0.2	pMCSKY	91425.55	284.3	391.0	15	21
GAS	GAS_Q100	0.2	MDUAL-D	5559.50	15.6	62.0	15	21
GAS	GAS_Q100	0.2	MDUAL-Q	2109.36	21.1	62.0	15	21
GAS	GAS_Q100	0.2	MDUAL	598.89	18.4	62.0	15	21
EM	EM_Q100	0.2	NAIVE	34161.47	3.0	80.0	11	14
EM	EM_Q100	0.2	SOP	77537.86	774.9	935.0	11	14
EM	EM_Q100	0.2	pMCSKY	78363.22	718.1	877.0	11	14
EM	EM_Q100	0.2	MDUAL-D	7944.83	13.8	91.0	11	14
EM	EM_Q100	0.2	MDUAL-Q	2566.61	15.1	91.0	11	14
EM	EM_Q100	0.2	MDUAL	2187.49	14.6	91.0	11	14
EM	EM_Q100	0.2	SOP	70060.38	765.2	864.0	7	7
EM	EM_Q100	0.2	pMCSKY	71775.51	708.4	810.0	7	7
EM	EM_Q100	0.2	MDUAL-D	9914.74	13.9	44.0	7	7
EM	EM_Q100	0.2	MDUAL-Q	2873.27	15.1	47.0	7	7
EM	EM_Q100	0.2	MDUAL	2445.20	14.4	50.0	7	7
GAS	GAS_Q100	0.2	SOP	75684.08	343.0	454.0	12	19
GAS	GAS_Q100	0.2	pMCSKY	76238.86	285.9	396.0	12	19
GAS	GAS_Q100	0.2	MDUAL-D	4645.92	15.6	54.0	12	19
GAS	GAS_Q100	0.2	MDUAL-Q	1245.62	21.2	57.0	12	19
GAS	GAS_Q100	0.2	MDUAL	442.96	17.6	55.0	12	19
FC	FC_Q100	0.2	SOP	51983.87	220.3	319.0	313	615
FC	FC_Q100	0.2	pMCSKY	52842.81	164.2	266.0	313	615
FC	FC_Q100	0.2	MDUAL-D	2910.27	21.0	70.0	313	615
FC	FC_Q100	0.2	MDUAL-Q	1025.45	21.0	64.0	313	615
FC	FC_Q100	0.2	MDUAL	2039.48	20.9	74.0	313	615
